"Road","Home","Road_score","Home_score","Home_w","margin","Date"
"Prairie View","Santa Clara",81,64,0,17,2018-11-09
"Yale","California",76,59,0,17,2018-11-09
"Portland","Hawaii",64,82,1,-18,2018-11-09
"Long Beach State","UCLA",80,91,1,-11,2018-11-09
"Maryland-Eastern Shore","NC State",49,95,1,-46,2018-11-10
"College of Charleston","Western Carolina",77,74,0,3,2018-11-10
"Tuskegee","Florida A&M",55,62,1,-7,2018-11-10
"Eastern Illinois","IUPUI",65,71,1,-6,2018-11-10
"Millsaps","Louisiana-Monroe",52,94,1,-42,2018-11-10
"Shenandoah","UMBC",45,93,1,-48,2018-11-10
"Wagner","UMass-Lowell",84,88,1,-4,2018-11-10
"Southeast Missouri State","Bradley",57,68,1,-11,2018-11-10
"Wofford","High Point",68,60,0,8,2018-11-10
"Jacksonville","Northern Arizona",82,97,1,-15,2018-11-10
"Jackson State","St. Bonaventure",36,67,1,-31,2018-11-10
"North Carolina A&T","Wake Forest",78,90,1,-12,2018-11-10
"Alabama A&M","Houston",54,101,1,-47,2018-11-10
"Lafayette","La Salle",77,76,0,1,2018-11-10
"Wyoming","Oregon State",64,83,1,-19,2018-11-10
"North Park","Western Illinois",56,84,1,-28,2018-11-10
"Oklahoma State","Charlotte",64,66,1,-2,2018-11-10
"Arkansas-Pine Bluff","Colorado State",67,92,1,-25,2018-11-10
"Tennessee State","Lipscomb",79,86,1,-7,2018-11-10
"Bethune-Cookman","Marquette",59,92,1,-33,2018-11-10
"Western Michigan","Ole Miss",64,90,1,-26,2018-11-10
"Brevard","USC Upstate",43,86,1,-43,2018-11-10
"South Carolina State","Tulsa",52,74,1,-22,2018-11-10
"Evansville","Xavier",85,91,1,-6,2018-11-10
"Akron","Youngstown State",98,69,0,29,2018-11-10
"West Coast Baptist","Cal State Fullerton",53,106,1,-53,2018-11-10
"William & Mary","Duquesne",70,84,1,-14,2018-11-10
"Maine","San Francisco",50,93,1,-43,2018-11-10
"Bemidji State","South Dakota State",63,86,1,-23,2018-11-10
"Southern","Baylor",53,80,1,-27,2018-11-10
"Central Connecticut","Georgetown",78,85,1,-7,2018-11-10
"Delaware","St. Peter's",78,75,0,3,2018-11-10
"Fairfield","Bucknell",60,58,0,2,2018-11-10
"Miami (OH)","Butler",68,90,1,-22,2018-11-10
"Eastern Kentucky","Chattanooga",81,78,0,3,2018-11-10
"Kent State","Cleveland State",83,79,0,4,2018-11-10
"Coppin State","Dayton",46,76,1,-30,2018-11-10
"Menlo","Long Beach State",57,78,1,-21,2018-11-10
"Columbia","Marist",76,82,1,-6,2018-11-10
"Holy Cross","Michigan",37,56,1,-19,2018-11-10
"North Dakota","Milwaukee",63,60,0,3,2018-11-10
"Clarion","Norfolk State",46,74,1,-28,2018-11-10
"Morehead State","Syracuse",70,84,1,-14,2018-11-10
"Presbyterian","Tennessee Tech",80,65,0,15,2018-11-10
"Wilberforce","Toledo",58,99,1,-41,2018-11-10
"UT-Martin","Western Kentucky",71,86,1,-15,2018-11-10
"Illinois State","Belmont",89,100,1,-11,2018-11-10
"Fordham","Houston Baptist",72,75,1,-3,2018-11-10
"Texas-Tyler","Incarnate Word",54,66,1,-12,2018-11-10
"Wright State","Murray State",54,73,1,-19,2018-11-10
"Ball State","Purdue",75,84,1,-9,2018-11-10
"Troy","Saint Louis",58,62,1,-4,2018-11-10
"Winthrop","SIU-Edwardsville",94,82,0,12,2018-11-10
"Northern Iowa","Texas-Arlington",65,74,1,-9,2018-11-10
"Quinnipiac","Villanova",53,86,1,-33,2018-11-10
"Idaho State","Boise State",72,70,0,2,2018-11-10
"Delaware State","Grand Canyon",47,89,1,-42,2018-11-10
"Blue Mountain College","North Alabama",59,72,1,-13,2018-11-10
"Portland","North Texas",73,78,1,-5,2018-11-10
"Southern Utah","San Jose State",66,59,0,7,2018-11-10
"Texas Southern","Gonzaga",67,104,1,-37,2018-11-10
"Loyola Marymount","UNLV",61,50,0,11,2018-11-10
"UC-Riverside","Portland State",64,71,1,-7,2018-11-10
"Humboldt State","Hawaii",54,90,1,-36,2018-11-10
"St. Francis (NY)","Boston College",69,74,1,-5,2018-11-11
"Emerson","Boston University",57,94,1,-37,2018-11-11
"Colgate","Cornell",73,57,0,16,2018-11-11
"ETSU","Creighton",69,75,1,-6,2018-11-11
